date,hour,o_zone_id,d_zone_id,volume
2019-10-16,8,1,4,18.0
2019-10-17,8,1,4,21.0
2019-10-15,9,1,4,12.0
2019-10-16,9,1,4,8.0
2019-10-17,9,1,4,9.0
2019-10-15,10,1,4,11.0
2019-10-16,10,1,4,7.0
2019-10-17,10,1,4,6.0
2019-10-15,11,1,4,8.0
2019-10-16,11,1,4,3.0
2019-10-17,11,1,4,5.0
2019-10-15,12,1,4,8.0
2019-10-16,12,1,4,7.0
2019-10-17,12,1,4,8.0
2019-10-15,13,1,4,4.0
2019-10-16,13,1,4,5.0
2019-10-17,13,1,4,5.0
2019-10-15,14,1,4,10.0
2019-10-16,14,1,4,11.0
2019-10-17,14,1,4,8.0
2019-10-15,15,1,4,8.0
2019-10-16,15,1,4,16.0
2019-10-17,15,1,4,14.0
2019-10-15,16,1,4,24.0
2019-10-16,16,1,4,28.0
2019-10-17,16,1,4,19.0
2019-10-15,17,1,4,60.0
2019-10-16,17,1,4,68.0
2019-10-17,17,1,4,59.0
2019-10-15,18,1,4,47.0
2019-10-16,18,1,4,54.0
2019-10-17,18,1,4,58.0
2019-10-15,19,1,4,31.0
2019-10-16,19,1,4,21.0
2019-10-17,19,1,4,17.0
2019-10-15,20,1,4,13.0
2019-10-16,20,1,4,6.0
2019-10-17,20,1,4,8.0
2019-10-15,21,1,4,4.0
2019-10-16,21,1,4,9.0
2019-10-17,21,1,4,6.0
2019-10-15,22,1,4,17.0
2019-10-16,22,1,4,10.0
2019-10-17,22,1,4,10.0
2019-10-15,23,1,4,3.0
2019-10-16,23,1,4,2.0
2019-10-17,23,1,4,1.0
2019-10-15,7,1,5,1.0
2019-10-16,7,1,5,2.0
2019-10-17,7,1,5,1.0
2019-10-15,9,1,5,1.0
2019-10-17,9,1,5,1.0
2019-10-15,10,1,5,1.0
2019-10-16,10,1,5,1.0
2019-10-17,10,1,5,1.0
2019-10-15,11,1,5,1.0
2019-10-15,12,1,5,2.0
2019-10-17,12,1,5,1.0
2019-10-15,13,1,5,3.0
2019-10-16,13,1,5,4.0
2019-10-17,13,1,5,8.0
2019-10-15,14,1,5,5.0
2019-10-16,14,1,5,3.0
2019-10-17,14,1,5,4.0
2019-10-15,15,1,5,8.0
2019-10-16,15,1,5,24.0
2019-10-17,15,1,5,14.0
2019-10-15,16,1,5,16.0
2019-10-16,16,1,5,43.0
2019-10-17,16,1,5,43.0
2019-10-15,17,1,5,22.0
2019-10-16,17,1,5,39.0
2019-10-17,17,1,5,28.0
2019-10-15,18,1,5,58.0
2019-10-16,18,1,5,45.0
2019-10-17,18,1,5,55.0
2019-10-15,19,1,5,22.0
2019-10-16,19,1,5,15.0
2019-10-17,19,1,5,24.0
2019-10-15,20,1,5,9.0
2019-10-16,20,1,5,5.0
2019-10-17,20,1,5,11.0
2019-10-15,21,1,5,7.0
2019-10-17,21,1,5,2.0
2019-10-17,22,1,5,2.0
2019-10-16,23,1,5,1.0
2019-10-17,23,1,5,3.0
2019-10-15,5,1,6,1.0
2019-10-16,5,1,6,1.0
2019-10-15,7,1,6,4.0
2019-10-16,7,1,6,4.0
2019-10-17,7,1,6,5.0
2019-10-15,8,1,6,4.0
2019-10-16,8,1,6,5.0
2019-10-17,8,1,6,10.0
2019-10-15,9,1,6,9.0
2019-10-16,9,1,6,4.0
2019-10-17,9,1,6,6.0
2019-10-15,10,1,6,3.0
2019-10-16,10,1,6,8.0
2019-10-17,10,1,6,3.0
2019-10-15,11,1,6,12.0
2019-10-16,11,1,6,6.0
2019-10-17,11,1,6,9.0
2019-10-15,12,1,6,6.0
2019-10-16,12,1,6,14.0
2019-10-17,12,1,6,7.0
2019-10-15,13,1,6,11.0
2019-10-16,13,1,6,10.0
2019-10-17,13,1,6,8.0
