mode_type_id,mode_type,name,vot,pce,occ,demand_file,dedicated_shortest_path
1,sov,sov,20,1,1,sov_pm.csv,1
2,hov2,hov2,30,1,2,hov2_pm.csv,1
3,hov3,hov3,60,1,3.5,hov3_pm.csv,1
4,com,com,30,1,1,com_pm.csv,1
5,trk,trk,30,2,1,trk_pm.csv,1
6,apv,apv,30,1,1.6,apv_pm.csv,1
