o_district,d_district,K
6,18,0.25
6,19,1.1450065539048517
6,20,1.0127254757356763
6,21,1.0261069630009696
6,22,1.124458944413763
6,24,0.25
6,25,0.6827496047500382
6,26,1.184202659717829
6,27,1.2701264202766525
6,28,0.7465927002815199
6,30,0.25
6,31,0.25
6,32,0.25
6,33,0.25
7,1,0.25
7,2,0.7482357367704248
7,3,0.25
7,4,0.25
7,6,0.25
7,7,2.5623742538100496
7,8,0.7784012453423844
7,9,0.25
7,12,0.9239527147809393
7,13,0.3907223044787655
7,14,0.9087782007924189
7,15,0.28799951856949224
7,16,0.3643826391904458
7,17,0.25
7,19,1.3046046992843774
7,20,1.0598244819396367
7,21,0.8993530319970469
7,22,0.603854448116056
7,25,0.5192392443625724
7,26,0.7775875083393273
7,27,0.7907136596302289
7,28,0.39864382650101027
7,33,0.25
8,1,0.25
8,2,2.2942663510310326
8,3,0.38931057812468145
8,4,0.25
8,6,0.25
8,7,2.5398821570388668
8,8,1.6017991526882296
8,9,0.2769890883707955
8,11,0.25
8,12,0.25
8,13,0.25
8,14,1.6578884905704354
8,15,0.2565369085864638
8,16,0.362323075235
8,17,0.25
8,19,0.7586968348193796
8,20,1.0781930227932912
8,21,0.9138533195187593
8,22,0.6365778298739715
8,25,0.40433342820001594
8,26,0.7393249851455563
8,27,0.7283381946200368
8,28,0.4069710584239158
8,33,0.25
9,2,0.25
9,3,2.460283927613407
9,4,0.5012930417845295
9,7,0.25
9,8,0.32297478962691123
9,9,2.328999967533716
9,10,2.984236446380878
9,11,0.25
9,12,0.25
9,13,0.25
9,14,1.3526213906524334
9,15,0.9648191453219959
9,16,0.31374598508185114
9,17,0.25
9,19,0.90130114561377
9,20,1.0172565102751057
9,21,0.8763515774906957
9,22,0.5077325475851557
9,25,0.5641832112291526
9,26,0.8114060654721773
9,27,0.7606034611029454
9,28,0.32440043430430177
9,33,0.25
10,2,0.25
10,3,1.5118910208184013
10,4,3.1897388209480306
10,8,0.25
10,9,1.3019957475676323
10,10,3.699033334781578
10,11,0.3180350554852426
10,13,0.25
10,14,1.1864746059720437
10,15,0.25
10,16,0.2514792694861373
10,17,0.5103300703387478
10,19,0.9321126011915377
10,20,1.1446235652793946
10,21,0.8589164201994639
10,22,0.41827173093510867
10,25,0.3855708723970492
10,26,0.700801920959385
10,27,0.5726320363471953
10,28,0.25
11,2,0.25
11,3,0.25
11,4,0.25
11,5,0.7142145442986683
11,8,0.25
11,9,0.28629894865184874
11,10,0.25
11,11,1.557567827474494
11,13,0.25
11,14,0.3164271253148173
11,15,0.38562127817372627
11,16,0.6654453104439245
11,17,0.9086126314917499
11,19,0.8335257281874651
11,20,1.1724314106063596
11,21,1.0992894494594783
11,22,0.652351951828015
11,23,0.25
11,25,0.45944393373491205
11,26,0.5933528307498754
11,27,0.5507060901382063
11,28,0.31140381997554556
11,32,0.25
11,33,0.25
11,34,0.25
11,35,0.25
12,6,0.25
12,8,0.25
12,9,0.38833510882661326
12,12,2.409188000706652
12,13,0.7076920815701908
12,14,0.6098445612883804
12,15,0.38295675457610284
12,16,0.6069625680311604
12,17,0.25
12,18,0.6404674973716189
12,19,1.4680105683302667
12,20,0.9862552740368982
12,21,0.9280851869614619
12,22,0.8687224317598369
12,24,0.25
12,25,0.46236003070895
12,26,0.7724514715394999
12,27,0.8632986895856052
12,28,0.5087399756062713
12,32,0.25
12,33,0.25
13,6,0.25
13,7,0.26750697044512955
13,8,0.25
13,9,0.25
13,12,1.3265406264351134
13,13,1.4415076241559577
13,14,1.3419240059820012
13,15,0.25620281341496964
13,16,0.42856387857992856
13,17,0.25
13,18,0.51536104006611
13,19,1.5990081473117208
13,20,0.967208564400158
13,21,0.8345856510428844
13,22,0.6304753452096036
13,25,0.38680640319867765
13,26,0.6248264489232744
13,27,0.6465120169387205
13,28,0.37536202159116056
13,32,0.25
13,33,0.25
14,8,0.25
14,9,0.25
14,12,0.25
14,13,0.848574062347239
14,14,2.6198068100968337
14,15,0.25
14,16,0.37232767822789076
14,17,0.25
14,19,0.876876230832265
14,20,0.9922345240010138
14,21,0.809750495358955
14,22,0.6218520306286401
14,25,0.28655104840337925
14,26,0.6182312729615671
14,27,0.6016584378362949
14,28,0.29007974060744895
14,33,0.25
15,8,0.30151577471312735
15,9,0.5138901782345598
15,13,0.3138142041406916
15,14,1.7116679348344745
15,15,0.9547634965476669
15,16,0.6592031131647402
15,17,0.25
15,19,0.7899343986030286
15,20,1.0480030988871312
15,21,0.8952281246951037
15,22,0.8363994146768411
15,25,0.3088149921194856
15,26,0.6407195315716679
15,27,0.6881543992187655
15,28,0.43213749775090704
15,33,0.25
16,3,0.25163005138338973
16,4,0.25
16,8,0.25
16,9,0.4601889043410841
16,11,0.7788187372391504
16,12,0.3730550493712439
16,13,0.25
16,14,0.3930072959835188
16,15,0.5182952179751085
16,16,1.8261389463165905
16,17,1.4021616951915368
16,19,0.6255808990056838
16,20,0.9538648690808319
16,21,1.094470224733857
16,22,1.1273524773815151
16,23,0.25
16,25,0.5394139186199065
16,26,0.6721138219710824
16,27,0.7580906850436036
16,28,0.563470319503295
16,32,0.29734024035818885
16,33,0.2762852724253
16,34,0.25
16,35,0.25
17,3,0.25
17,4,0.25
17,5,0.25
17,8,0.25
17,9,0.4131915169020818
17,11,1.07035766480646
17,13,0.25
17,14,0.42571344221719015
17,15,0.441038743137842
17,16,0.8610231534786119
17,17,1.4939906766401676
17,19,0.7569344126267873
17,20,1.092256316783508
17,21,1.0815484679651826
17,22,0.7494297870151992
17,23,0.25
17,25,0.5136673495049554
17,26,0.6485944384387354
17,27,0.5863843785364731
17,28,0.3202181704660614
17,29,0.25
17,32,0.25
17,33,0.25
17,34,0.25
17,35,0.25
18,8,0.25
18,9,0.25
18,12,0.8874619018992802
18,13,0.3569773640980301
18,14,0.6542093495175718
18,15,0.25
18,16,0.7117198563476228
18,18,4.0
18,19,1.4984178180959882
18,20,0.9694309050873267
18,21,0.9413017969701579
18,22,0.9450361686239467
18,24,1.069367485643857
18,25,0.6144751523880208
18,26,0.7226876470697665
18,27,0.7306599049390159
18,28,0.5120010144602277
18,32,0.25
18,33,0.25
19,8,3.4837269412228404
19,9,3.739045275851206
19,12,2.542776569203356
19,13,1.9350908904477588
19,14,0.769747529710377
19,15,2.6374154298461874
19,16,1.373111675608956
19,19,1.6209565684088258
19,20,0.8907372617918824
19,21,0.962383909505905
19,22,0.9797920331897262
19,25,1.3178472900342062
19,26,0.832464016412057
19,27,0.9481457207082062
19,28,1.1105655102215262
19,33,2.371786420196061
20,14,2.478146077821899
20,16,3.623497033711965
20,19,0.920780084081311
20,20,0.8311444591338936
20,21,0.7505809178407243
20,22,0.9006303795051217
20,25,1.2413475834071648
20,26,0.9225327361900291
20,27,1.0779688138724461
21,9,4.0
21,13,4.0
21,14,1.8436921771559178
21,15,4.0
21,16,4.0
21,17,4.0
21,19,0.4243040836402566
21,20,0.6089141052687833
21,21,0.7787474860826714
21,22,1.4057468879093262
21,25,1.56245473588911
21,26,0.25
21,27,1.4579429663603543
21,28,4.0
21,33,4.0
22,8,2.565511233334674
22,9,1.7763051418373526
22,11,1.4319541235687092
22,13,1.4436053556365318
22,14,0.4350332978474199
22,15,1.4997425628593182
22,16,1.1365779964836527
22,17,1.7060495841548262
22,19,0.5624840852535132
22,20,0.9769159633147247
22,21,1.0406960746749017
22,22,1.3622685487251758
22,23,2.975668965104408
22,25,0.5500305523399516
22,26,0.6229288338518887
22,27,1.0142707525548682
22,28,1.3792770707933115
22,29,2.8911678576713125
22,32,0.5072749296315494
22,33,0.664386551804788
22,34,0.7321629436652596
22,35,0.25
23,8,0.27251255893550624
23,9,0.8926813013208565
23,11,0.25
23,13,0.25
23,14,0.41707898589523407
23,15,0.6744631010841073
23,16,0.6588556974696017
23,17,0.5106077802519036
23,19,0.664221917865615
23,20,1.1111133414258814
23,21,1.1116197212598498
23,22,0.9526038879460723
23,23,3.9679836450110226
23,25,0.4836850141264547
23,26,0.6525739206619566
23,27,0.8550556422525155
23,28,0.6326709789182311
23,32,0.25
23,33,0.25
23,34,0.25
23,35,0.25
24,6,0.25
24,8,0.5028114225971219
24,9,2.6061974781609614
24,12,0.25
24,13,0.2684305193262332
24,14,0.5795406050244573
24,15,1.8385058593526897
24,16,1.7419473921692838
24,17,1.8124492773526764
24,18,0.6250071581552105
24,19,0.45060505384731625
24,20,1.0354099451310212
24,21,1.1978705173092479
24,22,1.5668976087260216
24,24,1.8050664013659947
24,25,1.062193181925752
24,26,1.2920906581268814
24,27,1.169551712612762
24,28,0.8605213962783484
24,30,1.3533974579651846
24,31,0.25
24,32,0.25
24,33,0.3463025266720589
24,34,0.25
25,8,4.0
25,9,4.0
25,12,1.8720316450208205
25,13,1.7530357573125723
25,14,0.8652447629645332
25,15,4.0
25,16,2.308777711256664
25,17,1.3643807855950842
25,19,0.6615375909775456
25,20,0.9385667530655186
25,21,1.0125032875259605
25,22,1.6444119729334774
25,24,1.0707724837606698
25,25,2.6166410763517822
25,26,1.468864944361348
25,27,1.2543477251818067
25,28,1.4698934583043033
25,31,1.4936578527635627
25,32,1.2082822419641235
25,33,1.2847438252564378
25,34,0.502341312256274
26,9,4.0
26,13,4.0
26,14,1.4269150330135822
26,15,4.0
26,16,4.0
26,19,0.7928933673209009
26,20,0.8351715056240981
26,21,0.8356521009851107
26,22,1.3309455479508248
26,25,1.918992490612617
26,26,1.1609155015540054
26,27,1.272035464364829
26,28,2.3528404079448486
26,31,4.0
26,32,4.0
26,33,4.0
27,9,4.0
27,13,4.0
27,14,0.8757139343300882
27,15,4.0
27,16,2.591563077435743
27,17,4.0
27,19,0.7526915658306377
27,20,0.906573467357646
27,21,0.8989383391810132
27,22,1.3108804844464106
27,25,1.041558314038753
27,26,0.9552344474771828
27,27,1.5546484109869703
27,28,2.184066585851838
27,32,2.271713721491668
27,33,2.9888911071851765
27,34,2.4848024563805393
28,8,0.7285088329131529
28,9,2.553689203249946
28,11,0.4120269035722721
28,13,0.42218791169554226
28,14,0.569258249580012
28,15,1.5329399677136728
28,16,0.7711421341794928
28,17,0.7164244567184445
28,19,0.8137322055789448
28,20,0.9681367541263793
28,21,1.0683988490536604
28,22,1.2425053958052796
28,25,0.7157713939825895
28,26,0.8255965004523113
28,27,1.2422295912354875
28,28,1.6475149463379182
28,29,1.9144662069756597
28,32,0.34658885727531547
28,33,0.7841512012110373
28,34,1.2702779437822798
28,35,0.5211227109004526
29,9,1.7417125368271755
29,11,0.25
29,14,0.5134362049645245
29,15,1.1262294188886792
29,16,0.4885510736945747
29,17,0.28442278442014635
29,19,0.8188651915558347
29,20,1.0771112566719898
29,21,1.099785793119817
29,22,1.0023368868645564
29,25,0.6138589353350671
29,26,0.7223974833966085
29,27,0.9007574533001442
29,28,0.8005639464647711
29,29,1.3538693976111114
29,32,0.25
29,33,0.28007747640104125
29,34,0.4227814123057065
29,35,0.7192376983203174
30,6,0.25
30,8,1.1930153157622911
30,9,4.0
30,12,0.41284336140319206
30,13,0.6047238850676616
30,14,0.8345442753697192
30,15,3.0783793806470574
30,16,2.266781528250248
30,17,3.109626641387286
30,18,0.25
30,19,0.5299104810910162
30,20,0.9948725089049761
30,21,1.2064932757670226
30,22,1.8673747451066065
30,24,0.5642210134620115
30,25,1.0971475953923222
30,26,1.323931125732915
30,27,1.2794213708143225
30,28,0.8096264159410911
30,30,1.1353204087496451
30,31,0.3945260140123069
30,32,0.25
30,33,0.3058075424988366
30,34,0.25
31,9,4.0
31,13,0.5806834881741542
31,14,0.8428919258163723
31,15,3.4400329587605856
31,16,1.5084428493133037
31,19,0.6807686713114283
31,20,0.997748865582832
31,21,0.9693509581643492
31,22,1.1845408506829878
31,24,0.25
31,25,1.44229760871248
31,26,1.3504364268306623
31,27,0.8793721759107298
31,28,0.6197099510914514
31,30,0.4226501980482191
31,31,2.8622971133774917
31,32,1.0333175622545978
31,33,0.6359772054561169
31,34,0.25
32,9,4.0
32,13,0.625793679054056
32,14,1.001012078600918
32,15,4.0
32,16,1.5654494284976874
32,17,0.48539849255157036
32,19,0.8155299244748739
32,20,0.9638759403326471
32,21,0.9373586520398327
32,22,1.2742538911146375
32,25,1.17938957934929
32,26,1.4749265587302955
32,27,1.0034684065732409
32,28,0.7923951298521134
32,31,1.1504366276612592
32,32,2.3745940619892316
32,33,1.1473731936457015
32,34,0.25
33,9,4.0
33,13,0.7045083071262308
33,14,1.019829967018095
33,15,3.3692316085489624
33,16,1.2304236432252795
33,17,0.3980995989504826
33,19,0.9613719661127456
33,20,0.9570210128815707
33,21,0.9316527079686905
33,22,1.1099897825872453
33,25,0.8404199133915293
33,26,1.3405073418427589
33,27,1.1206011891314405
33,28,1.0874732287994522
33,31,0.34988003814885205
33,32,1.4492714426321733
33,33,1.8465675798328398
33,34,1.4246424006729903
33,35,0.25
34,9,4.0
34,13,0.5561210635417512
34,14,0.783593508879074
34,15,2.4154859189272373
34,16,0.7614145826130885
34,17,0.25
34,19,0.9913220036226184
34,20,1.0046585869829447
34,21,0.9898179269080128
34,22,0.9422855801038613
34,25,0.6527874510609927
34,26,1.0206837329242318
34,27,1.002330060026212
34,28,1.1793574980279544
34,29,0.8898136239772131
34,31,0.25
34,32,0.4083341232227462
34,33,0.7188899261531261
34,34,1.8785546214888036
34,35,1.083543360448079
35,8,0.59923111549597
35,9,2.3625874045870456
35,11,0.25
35,13,0.4037184278370913
35,14,0.7804838221176821
35,15,1.4558673884176565
35,16,0.4798560824196221
35,17,0.25
35,19,1.1296859726434052
35,20,1.0731303521785787
35,21,1.071643917450894
35,22,0.8037614529479769
35,23,0.25
35,25,0.677304322412587
35,26,0.907984306624047
35,27,0.8796623369205152
35,28,0.522508507280981
35,29,0.6607798775732385
35,31,0.25
35,32,0.25
35,33,0.25
35,34,0.487805539526016
35,35,1.455217500234749
