o_district,d_district,K
0,0,1.8074886271888964
0,1,1.6554009114283934
0,2,0.4485581117917916
0,3,0.5207115393550507
0,4,0.25
0,6,0.25
0,7,0.25
0,8,0.31143336359062673
0,9,0.3893800507827552
0,12,0.25
0,13,0.25
0,14,0.6932622463500607
0,15,0.6501490718072177
0,16,0.6629587449052299
0,17,0.25
0,19,1.4829998065724732
0,20,1.008629374909145
0,21,0.9471790945182977
0,22,1.1594994289259681
0,25,1.0030705828614976
0,26,1.379754262967079
0,27,1.4785087983657828
0,28,0.8549137819129156
1,0,1.6348156616845542
1,1,2.004120488755986
1,2,1.2376687960263695
1,3,0.5501685855202176
1,4,0.25
1,6,0.25
1,7,0.6558599834878189
1,8,0.640023343877917
1,9,0.38446365337462907
1,10,0.25
1,11,0.25
1,12,0.25
1,13,0.25
1,14,0.8896372335951512
1,15,0.5240131541188562
1,16,0.40118444518919516
1,17,0.25
1,19,1.2830315287547223
1,20,1.0703335580227005
1,21,0.9419647578875112
1,22,0.7242856980653543
1,25,0.7747707565425707
1,26,1.0271691033282138
1,27,1.0545928285651578
1,28,0.5294982421503638
2,1,0.3161423227290549
2,2,2.8933444816772664
2,3,0.3731046172375405
2,4,0.25
2,7,0.7081256964668066
2,8,0.7640344383991501
2,9,0.2698593417124412
2,12,0.25
2,13,0.25
2,14,1.0661203893345972
2,15,0.25
2,16,0.25
2,17,0.25
2,19,1.1136328363870935
2,20,1.1460896716259525
2,21,0.9155114490429793
2,22,0.49145038181303324
2,25,0.5086538776685471
2,26,0.7813399784018792
2,27,0.7224810070795067
2,28,0.33453225573601764
3,1,0.25
3,2,0.25
3,3,2.463384597747215
3,4,0.46357832207429855
3,7,0.25
3,8,0.25
3,9,0.7841848789435415
3,10,1.9347540849671143
3,11,0.25
3,12,0.25
3,13,0.25
3,14,1.4328121730702859
3,15,0.25
3,16,0.2800424667600549
3,17,0.25
3,19,0.9820613063723987
3,20,1.1018271446724088
3,21,0.9554280107328756
3,22,0.6532474490350252
3,25,0.5681609615698721
3,26,1.0440007684171346
3,27,1.0060411352152367
3,28,0.5370181364110778
4,1,0.25
4,2,0.25
4,3,0.382545530127612
4,4,2.2574642374168086
4,7,0.25
4,8,0.25
4,9,0.25
4,10,0.7838644341524935
4,11,0.25
4,12,0.25
4,13,0.25
4,14,1.8066465873720523
4,15,0.25
4,16,0.25
4,17,0.25
4,19,1.3027640928691495
4,20,1.134717721194884
4,21,0.926652442510003
4,22,0.6297923527276006
4,25,0.6743102190659502
4,26,1.265644466268321
4,27,1.1437198094411025
4,28,0.5299047355082279
4,33,0.25
5,1,0.25
5,2,0.25
5,3,0.25
5,4,0.25
5,5,1.101000965784916
5,8,0.25
5,9,0.25
5,10,0.25
5,11,0.25
5,13,0.25
5,14,0.7928397516679666
5,15,0.25
5,16,0.5282546515300656
5,17,0.25
5,19,1.4408822509296952
5,20,1.1631509935870383
5,21,1.261402277862852
5,22,1.1219783877057428
5,23,0.25
5,25,1.0156467436397325
5,26,1.2549762742127706
5,27,1.5580544129594243
5,28,0.8192357841608111
5,33,0.25
5,35,0.25
6,0,0.41642328233637954
6,1,0.25
6,2,0.25
6,3,0.25
6,4,0.25
6,6,1.4230826615099494
6,7,0.3862484398007363
6,8,0.3503884747462993
6,9,0.25
6,12,0.7332202730999726
6,13,0.4292919618508486
6,14,0.7037522874477579
6,15,0.27653421155713276
6,16,0.7436792096130083
6,17,0.25
