arc_zone_id,superzone_id,aggregation_weight,aggregation_method
1,31,1.0,grid_cluster_contiguous
2,31,1.0,grid_cluster_contiguous
3,31,1.0,grid_cluster_contiguous
4,32,1.0,grid_cluster_contiguous
5,32,1.0,grid_cluster_contiguous
6,32,1.0,grid_cluster_contiguous
7,32,1.0,grid_cluster_contiguous
8,33,1.0,grid_cluster_contiguous
9,33,1.0,grid_cluster_contiguous
10,33,1.0,grid_cluster_contiguous
11,33,1.0,grid_cluster_contiguous
12,33,1.0,grid_cluster_contiguous
13,32,1.0,grid_cluster_contiguous
14,32,1.0,grid_cluster_contiguous
15,32,1.0,grid_cluster_contiguous
16,31,1.0,grid_cluster_contiguous
17,31,1.0,grid_cluster_contiguous
18,32,1.0,grid_cluster_contiguous
19,32,1.0,grid_cluster_contiguous
20,32,1.0,grid_cluster_contiguous
21,32,1.0,grid_cluster_contiguous
22,32,1.0,grid_cluster_contiguous
23,32,1.0,grid_cluster_contiguous
24,33,1.0,grid_cluster_contiguous
25,33,1.0,grid_cluster_contiguous
26,33,1.0,grid_cluster_contiguous
27,33,1.0,grid_cluster_contiguous
28,33,1.0,grid_cluster_contiguous
29,33,1.0,grid_cluster_contiguous
30,33,1.0,grid_cluster_contiguous
31,33,1.0,grid_cluster_contiguous
32,33,1.0,grid_cluster_contiguous
33,34,1.0,grid_cluster_contiguous
34,33,1.0,grid_cluster_contiguous
35,33,1.0,grid_cluster_contiguous
36,33,1.0,grid_cluster_contiguous
37,33,1.0,grid_cluster_contiguous
38,33,1.0,grid_cluster_contiguous
39,33,1.0,grid_cluster_contiguous
40,33,1.0,grid_cluster_contiguous
41,33,1.0,grid_cluster_contiguous
42,33,1.0,grid_cluster_contiguous
43,33,1.0,grid_cluster_contiguous
44,33,1.0,grid_cluster_contiguous
45,33,1.0,grid_cluster_contiguous
46,33,1.0,grid_cluster_contiguous
47,33,1.0,grid_cluster_contiguous
48,33,1.0,grid_cluster_contiguous
49,33,1.0,grid_cluster_contiguous
50,33,1.0,grid_cluster_contiguous
51,33,1.0,grid_cluster_contiguous
52,33,1.0,grid_cluster_contiguous
53,33,1.0,grid_cluster_contiguous
54,33,1.0,grid_cluster_contiguous
55,33,1.0,grid_cluster_contiguous
56,33,1.0,grid_cluster_contiguous
57,35,1.0,grid_cluster_contiguous
58,35,1.0,grid_cluster_contiguous
59,33,1.0,grid_cluster_contiguous
60,33,1.0,grid_cluster_contiguous
61,35,1.0,grid_cluster_contiguous
62,33,1.0,grid_cluster_contiguous
63,35,1.0,grid_cluster_contiguous
64,35,1.0,grid_cluster_contiguous
65,35,1.0,grid_cluster_contiguous
66,35,1.0,grid_cluster_contiguous
67,35,1.0,grid_cluster_contiguous
68,35,1.0,grid_cluster_contiguous
69,35,1.0,grid_cluster_contiguous
70,35,1.0,grid_cluster_contiguous
71,33,1.0,grid_cluster_contiguous
72,33,1.0,grid_cluster_contiguous
73,33,1.0,grid_cluster_contiguous
74,33,1.0,grid_cluster_contiguous
75,33,1.0,grid_cluster_contiguous
76,34,1.0,grid_cluster_contiguous
77,33,1.0,grid_cluster_contiguous
78,34,1.0,grid_cluster_contiguous
79,34,1.0,grid_cluster_contiguous
80,33,1.0,grid_cluster_contiguous
81,34,1.0,grid_cluster_contiguous
82,34,1.0,grid_cluster_contiguous
83,34,1.0,grid_cluster_contiguous
84,34,1.0,grid_cluster_contiguous
85,34,1.0,grid_cluster_contiguous
86,34,1.0,grid_cluster_contiguous
87,34,1.0,grid_cluster_contiguous
88,34,1.0,grid_cluster_contiguous
89,34,1.0,grid_cluster_contiguous
90,34,1.0,grid_cluster_contiguous
91,36,1.0,grid_cluster_contiguous
92,34,1.0,grid_cluster_contiguous
93,34,1.0,grid_cluster_contiguous
94,36,1.0,grid_cluster_contiguous
95,36,1.0,grid_cluster_contiguous
96,37,1.0,grid_cluster_contiguous
97,37,1.0,grid_cluster_contiguous
98,37,1.0,grid_cluster_contiguous
99,37,1.0,grid_cluster_contiguous
100,37,1.0,grid_cluster_contiguous
101,1,1.0,own_superzone_top_demand
102,36,1.0,grid_cluster_contiguous
103,36,1.0,grid_cluster_contiguous
104,36,1.0,grid_cluster_contiguous
105,36,1.0,grid_cluster_contiguous
106,36,1.0,grid_cluster_contiguous
107,36,1.0,grid_cluster_contiguous
108,36,1.0,grid_cluster_contiguous
109,36,1.0,grid_cluster_contiguous
110,36,1.0,grid_cluster_contiguous
111,36,1.0,grid_cluster_contiguous
112,36,1.0,grid_cluster_contiguous
113,36,1.0,grid_cluster_contiguous
114,36,1.0,grid_cluster_contiguous
115,36,1.0,grid_cluster_contiguous
116,36,1.0,grid_cluster_contiguous
117,35,1.0,grid_cluster_contiguous
118,35,1.0,grid_cluster_contiguous
119,35,1.0,grid_cluster_contiguous
120,36,1.0,grid_cluster_contiguous
121,36,1.0,grid_cluster_contiguous
122,36,1.0,grid_cluster_contiguous
123,34,1.0,grid_cluster_contiguous
124,34,1.0,grid_cluster_contiguous
125,34,1.0,grid_cluster_contiguous
126,35,1.0,grid_cluster_contiguous
127,35,1.0,grid_cluster_contiguous
128,35,1.0,grid_cluster_contiguous
129,35,1.0,grid_cluster_contiguous
130,35,1.0,grid_cluster_contiguous
