node_id,zone_id,x_coord,y_coord
1,1,2292480.31588,1464323.29409
2,2,2257359.28704,1460939.10007
3,3,2239601.57813,1422378.8875
4,4,2236098.53921,1400768.16497
5,5,2234672.53747,1399817.8985
6,6,2237058.18558,1399313.50778
7,7,2227244.04609,1385759.23141
8,8,2226574.90898,1373266.61367
9,9,2230084.51351,1376673.62458
10,10,2230122.0154,1365073.13334
11,11,2218210.80071,1328675.87444
12,12,2245944.21013,1427952.11716
13,13,2248768.02404,1379671.78951
14,14,2168620.6197,1470076.1507
15,15,2183595.62912,1433243.4281
16,16,2179186.09103,1442642.40537
17,17,2211248.75,1424435.21508
18,18,2275949.8309,1440835.43031
19,19,2280201.118,1440621.71125
20,20,2342025.66889,1441984.116
21,21,2328602.65965,1460033.09565
22,22,2214200.229,1322655.39895
23,23,2238273.82062,1281186.27356
24,24,2290630.18671,1504933.37167
25,25,2307662.24877,1497707.90285
26,26,2401363.86714,1565772.66567
27,27,2069579.31844,1603610.82556
28,28,2411585.84342,1493722.23136
29,29,2317498.23041,1188004.59476
30,30,2097343.174,1170963.9192
31,31,2220978.67181,1483122.48583
32,32,2233516.61229,1483417.854
33,33,2247009.01706,1484991.41746
34,34,2266676.87044,1517712.96356
35,35,2247598.19895,1476584.85454
36,36,2279622.37014,1475601.74496
37,37,2295928.99796,1477322.83076
38,38,2243892.73458,1468454.99482
39,39,2228717.40076,1474962.64946
40,40,2263669.92993,1440733.96693
41,41,2238237.62745,1441304.91133
42,42,2227888.37551,1433968.20028
43,43,2213856.12175,1422421.49568
44,44,2230631.8113,1416123.79076
45,45,2228964.97244,1415959.10736
46,46,2215164.9482,1415515.78902
47,47,2226244.53398,1389481.39391
48,48,2236560.20364,1389372.40725
49,49,2214853.52691,1384466.39902
50,50,2189097.82284,1375129.20345
51,51,2202779.65998,1370163.47552
52,52,2216951.83899,1369928.32376
53,53,2240477.47861,1370198.04567
54,54,2226832.53248,1357702.94697
55,55,2230729.80618,1355883.6012
56,56,2236881.36409,1331876.23583
57,57,2229533.69571,1327957.34668
58,58,2212713.51314,1357373.44828
59,59,2190601.63152,1367562.48958
60,60,2185741.61663,1356905.43872
61,61,2187463.40781,1331740.57862
62,62,2201432.48387,1329841.70938
63,63,2206216.2663,1293837.98776
64,64,2189180.22753,1295000.94704
65,65,2159795.72364,1292091.22189
66,66,2161025.18903,1299656.73957
67,67,2161479.04803,1335389.63595
68,68,2100793.11789,1296641.55662
69,69,2254430.02354,1415488.07024
70,70,2267592.33613,1424224.96878
71,71,2279577.77377,1414365.74834
72,72,2269246.32921,1389414.28479
73,73,2295462.7922,1394356.42648
74,74,2304513.29247,1385860.97759
75,75,2265014.91313,1375571.58118
76,76,2251110.81201,1370008.88036
77,77,2247057.41657,1355480.75423
78,78,2267658.98921,1355484.79491
79,79,2269736.48243,1358585.24212
80,80,2293640.25516,1365187.84637
81,81,2294135.58521,1356642.77291
82,82,2333999.73547,1367243.17034
83,83,2330094.13239,1357225.49681
84,84,2313899.14148,1326653.20756
85,85,2286761.60225,1331212.58295
86,86,2263125.31915,1328220.68146
87,87,2139996.40956,1482788.46058
88,88,2158133.8267,1476799.50635
89,89,2162543.41696,1475913.56324
90,90,2166073.73503,1480646.78573
91,91,2162902.4064,1440754.49543
92,92,2159985.56119,1438172.45926
93,93,2140626.64846,1415425.69012
94,94,2130916.42379,1386512.19906
95,95,2193538.62334,1459353.8772
96,96,2195972.56205,1481607.33892
97,97,2192240.81065,1414246.33224
98,98,2296291.2679,1441400.08961
99,99,2338538.67422,1370822.47453
100,100,2331873.10652,1390357.23829
101,101,2343597.04173,1418496.15806
102,102,2351037.57541,1441982.5937
103,103,2317556.6299,1479003.18107
104,104,2329336.60798,1481135.2877
105,105,2393903.57859,1491699.8066
106,106,2389704.69033,1476532.65944
107,107,2386216.81509,1437876.54679
108,108,2367244.56858,1331353.94127
109,109,2339715.75422,1294572.8393
110,110,2261176.12554,1285975.91785
111,111,2267697.55705,1280347.7129
112,112,2294629.1272,1295769.7106
113,113,2326760.28472,1243209.4312
114,114,2331542.85488,1246480.64874
115,115,2288579.41522,1236221.68074
116,116,2263518.65891,1241695.7364
117,117,2220744.9751,1296719.34387
118,118,2231348.33742,1284144.04487
119,119,2236978.18542,1246189.71789
120,120,2227712.17934,1243904.44491
121,121,2161188.17525,1243247.15029
122,122,2166790.94423,1237357.39566
123,123,2206935.52897,1246948.4316
124,124,2076320.96605,1360888.63187
125,125,2078317.24847,1370357.65165
126,126,2087597.01403,1356285.84678
127,127,2076560.97804,1326265.31135
128,128,2114981.78144,1361022.60076
129,129,2183114.90732,1536438.92152
130,130,2156435.43344,1545303.65576
131,131,2193346.36618,1562891.92799
132,132,2217476.47376,1568463.36337
133,133,2230681.09926,1586600.02789
134,134,2249432.33964,1578623.85847
135,135,2267355.78542,1571508.56857
136,136,2098391.4206,1218663.71389
137,137,2300736.08841,1572644.81597
138,138,2330219.00648,1573304.40979
139,139,2034937.94612,1390729.26543
140,140,2031382.31774,1427402.239
141,141,2055958.71084,1449395.45453
142,142,2068419.0373,1484218.86191
143,143,2101484.95279,1595818.39954
144,144,2382406.81352,1324496.3769
145,145,2384593.90823,1334662.52061
146,146,2395573.33115,1294592.27693
147,147,2383251.97489,1236427.46281
148,148,2383686.37691,1376666.75582
149,149,2386615.44356,1369854.4558
150,150,2402484.56995,1395330.63746
151,151,2386517.91389,1593928.76749
152,0,2199846.80331,1445446.93815
153,0,2167516.08287,1374879.8821
154,0,2167937.14043,1374561.57532
155,0,2169383.08996,1374453.7819
156,0,2163669.18079,1376304.187
157,0,2207561.39353,1413256.72005
158,0,2135900.11165,1428754.26615
159,0,2044825.85778,1429331.97038
160,0,2250717.18812,1378813.77712
161,0,2250543.81741,1378679.39977
162,0,2243126.20724,1395560.29842
163,0,2234608.95918,1386442.81272
164,0,2235563.54159,1386873.94407
165,0,2235968.14938,1387204.28101
166,0,2237636.20182,1389115.06196
167,0,2239535.56121,1391411.21485
168,0,2239429.17002,1391356.82815
169,0,2238672.72566,1391219.9485
