cluster,feed_idx,stop_id,lon,lat
8434,0,1183,-77.051336,38.858569
8434,0,1182,-77.049105,38.857872
8434,6,8555,-77.063287,38.853156
8434,6,8554,-77.061471,38.853192
8434,6,8553,-77.059585,38.853211
8434,6,8552,-77.057681,38.853219
8434,6,8551,-77.055417,38.853279
8434,6,13433,-77.050436,38.853172
8434,6,29210,-77.049333,38.85409
8434,6,2310,-77.049258,38.855532
8434,6,9248,-77.04912,38.857927
8434,6,29207,-77.051233,38.858349
8434,6,13439,-77.050568,38.8562
8434,6,8550,-77.052163,38.853745
8434,6,8564,-77.055145,38.853411
8434,6,8563,-77.057443,38.853348
8434,6,8562,-77.059326,38.853326
8434,6,8561,-77.061205,38.853304
8434,6,8560,-77.062884,38.853282
8434,6,9720,-77.051792,38.857579
8434,6,29206,-77.051195,38.858297
8434,6,29879,-77.051194,38.858108
8434,6,26567,-77.053265,38.853962
8434,6,9951,-77.053052,38.855989
8434,6,11114,-77.052992,38.857809
8434,6,42922,-77.053231,38.857094
8434,6,26568,-77.053529,38.853951
8434,6,29868,-77.052668,38.85366
8434,10,155,-77.05217,38.85747
8434,10,156,-77.05024,38.853478
8434,16,2005,-77.05233,38.857399
8434,16,1924,-77.050217,38.853495
8434,18,2278,-77.053269,38.857884
8434,18,2834,-77.051819,38.857503
8434,18,2835,-77.050205,38.853496
446,0,1262,-77.071882,38.89511
446,0,1224,-77.073025,38.898322
446,0,475,-77.07162,38.89673
446,0,1225,-77.072833,38.899164
446,0,1226,-77.075107,38.899092
446,0,478,-77.076071,38.896143
446,0,1168,-77.071567,38.895245
446,0,479,-77.076194,38.896282
446,0,1261,-77.072532,38.89475
446,0,1123,-77.075386,38.893653
446,0,1257,-77.073081,38.895568
446,6,8539,-77.075396,38.893649
446,6,11396,-77.073096,38.8956
446,6,29144,-77.071625,38.896093
446,6,12437,-77.074709,38.894808
446,6,27336,-77.073047,38.898332
446,6,29145,-77.071643,38.896332
446,6,29136,-77.071619,38.896562
446,6,11332,-77.070868,38.896622
446,10,20,-77.07281,38.898333
446,11,125,-77.071558,38.89732
446,16,1747,-77.069424,38.89462
446,16,1742,-77.069469,38.894834
418,0,451,-77.085513,38.891465
418,0,457,-77.08493,38.890665
418,0,447,-77.088307,38.890617
418,0,446,-77.090456,38.889789
418,0,444,-77.093019,38.888855
418,0,578,-77.095369,38.887254
418,0,1013,-77.085828,38.891919
418,0,473,-77.071642,38.890247
418,0,471,-77.073442,38.889322
418,0,470,-77.075349,38.888081
418,0,467,-77.076656,38.887696
418,0,465,-77.077454,38.889495
418,0,463,-77.078971,38.890305
418,0,462,-77.079128,38.891716
418,0,460,-77.080659,38.893155
418,0,453,-77.082228,38.892469
418,0,452,-77.083805,38.891872
418,0,454,-77.08502,38.89131
418,0,455,-77.083601,38.891465
418,0,461,-77.079325,38.891692
418,0,464,-77.079101,38.890236
418,0,466,-77.077513,38.889353
418,0,468,-77.076796,38.887686
418,0,469,-77.0746,38.88805
418,0,472,-77.073334,38.889514
418,0,474,-77.071671,38.890157
418,0,1014,-77.084636,38.890685
418,0,440,-77.095136,38.886778
418,0,986,-77.09332,38.88771
418,0,448,-77.091119,38.888487
418,0,449,-77.088824,38.88937
418,0,450,-77.086492,38.890345
418,0,1018,-77.094939,38.88646
418,0,1169,-77.09476,38.88635
418,0,1128,-77.07844,38.89409
418,0,1185,-77.088655,38.889694
418,0,1258,-77.088477,38.888205
418,0,1259,-77.088184,38.887365
418,0,1133,-77.079277,38.892834
418,6,11404,-77.095186,38.886763
418,6,12497,-77.093283,38.887735
418,6,12498,-77.091084,38.888511
418,6,12499,-77.088787,38.88941
418,6,12500,-77.086463,38.890314
418,6,27172,-77.085038,38.891314
418,6,23047,-77.083596,38.89146
418,6,8518,-77.080988,38.891953
418,6,8537,-77.079849,38.892616
418,6,12438,-77.07833,38.894161
418,6,12440,-77.08068,38.893164
418,6,12441,-77.082274,38.89246
418,6,27184,-77.083806,38.89189
418,6,27174,-77.085582,38.89144
418,6,12444,-77.088318,38.890613
418,6,12445,-77.09048,38.889791
418,6,12446,-77.093009,38.888862
418,6,11411,-77.095391,38.887272
418,6,27055,-77.088184,38.887338
418,6,27100,-77.088438,38.889476
418,6,27118,-77.088671,38.889736
418,6,27071,-77.088479,38.888182
418,6,12488,-77.084602,38.891553
418,16,2097,-77.095161,38.886803
418,16,1791,-77.086241,38.89035
418,16,1789,-77.086129,38.891312
418,16,1790,-77.095426,38.887412
324,0,1342,-77.111851,38.881884
324,0,85,-77.114353,38.882254
324,0,513,-77.111083,38.882088
