bus_stop_id,bus_stop_name,rail_station,distance_m
5972,MINNESOTA AVE NE & HAYES ST NE,MINNESOTA AVE METRO STATION,145.0
40006,WEST FALLS CHURCH STATION & BUS BAY E,WEST FALLS CHURCH METRO,145.4
6554,POTOMAC AVE SE & 15TH ST SE,POTOMAC AVE METRO,145.5
27403,K ST NW & 14TH ST NW,MCPHERSON SQ METRO STATION,146.6
31509,SUITLAND STATION & BUS BAY H,SUITLAND METRO STATION,147.3
7931,17TH ST & H ST,FARRAGUT WEST METRO STATION,147.6
27339,13TH ST NW & G ST NW,METRO CENTER METRO STATION,147.8
28839,VAN NESS ST & INTERNATIONAL DR (E),VAN NESS-UDC METRO STATION,148.5
5489,H ST NW & 7TH ST NW,GALLERY PLACE CHINATOWN METRO STATION,148.6
28751,TEXAS AVE SE & E CAPITOL ST SE,BENNING RD METRO STATION,149.2
41309,SOUTHERN AVE STATION & BUS BAY G,SOUTHERN AVE METRO STATION,149.7
27621,RHODE ISLAND AVE NE & #617,RHODE ISLAND METRO STATION,150.0
7466,7TH ST & R ST,SHAW METRO STATION,150.4
41192,DUNN LORING STATION & BUS BAY G,DUNN LORING MERRIFIELD METRO STATION,150.9
8920,SOUTHERN AVE & VALLEY TER SE,SOUTHERN AVE METRO STATION,152.5
7508,7TH ST & MARYLAND AVE,L'ENFANT PLAZA METRO STATION,152.8
28945,STADIUM-ARMORY & BUS BAY G,STADIUM ARMORY METRO STATION,153.4
6218,NEBRASKA AVE NW & NEBRASKA AVE NW,TENLEYTOWN METRO STATION,153.4
29322,PENTAGON TRANSIT CENTER & BUS BAY U2,PENTAGON METRO STATION,153.8
27286,N CAPITOL ST NW & E ST NE,UNION STATION METRO STATION,153.9
1836,U ST NW & 11TH ST NW,U STREET METRO STATION,154.7
8008,P ST & 20TH ST,DUPONT CIRCLE METRO STATION,155.1
27324,NORTH CAPITOL ST & MASSACHUSETTS AVE,UNION STATION METRO STATION,155.7
27927,CONNECTICUT AVE & VAN NESS ST,VAN NESS-UDC METRO STATION,155.7
4893,CONNECTICUT AVE NW & L ST NW,FARRAGUT NORTH METRO STATION,156.6
27329,N CAPITOL ST NE & MASSACHUSETTS AVE NE,UNION STATION METRO STATION,157.2
7963,18TH ST SE & INDEPENDENCE AVE SE,STADIUM ARMORY METRO STATION,158.2
48318,BONIFANT ST + DIXON AVE - STOP T3,SILVER SPRING METRO STATION,158.3
29685,D ST & 9TH ST TUNNEL ENTR,L'ENFANT PLAZA METRO STATION,158.6
29325,HUNTINGTON STATION (N) & BUS BAY J/K,HUNTINGTON AV METRO STATION,158.9
7743,14TH ST & COLUMBIA RD,COLUMBIA HEIGHTS METRO STATION,159.1
5768,SW M ST & SW 6TH ST,WATERFRONT METRO STATION,159.9
14616,H ST & 17TH ST,FARRAGUT WEST METRO STATION,159.9
4961,CONNECTICUT AVE NW & L ST NW,FARRAGUT NORTH METRO STATION,160.7
29257,WEST FALLS CHURCH STATION & BUS BAY A,WEST FALLS CHURCH METRO,160.7
36836,E ST NE & COLUMBUS CIRCLE,UNION STATION METRO STATION,161.2
7366,BUTTERNUT ST & 4TH ST,TAKOMA METRO STATION,161.4
5677,KENILWORTH AVE & POLK ST,DEANWOOD METRO STATION,162.5
27002,8TH ST SE & D ST SE,EASTERN MARKET METRO STATION,163.7
27409,K ST NW & 14TH ST NW,MCPHERSON SQ METRO STATION,163.7
6637,RHODE ISLAND AVE NE & 8TH PL NE,RHODE ISLAND METRO STATION,164.3
46760,HUNTINGTON STATION NORTH,HUNTINGTON AV METRO STATION,165.9
27408,K ST NW & 18TH ST NW (MAIN),FARRAGUT NORTH METRO STATION,166.4
28752,TEXAS AVE SE & E CAPITOL ST SE,BENNING RD METRO STATION,167.0
7694,13TH ST NW & F ST NW,METRO CENTER METRO STATION,167.9
6419,P ST & 20TH ST,DUPONT CIRCLE METRO STATION,168.0
41193,DUNN LORING STATION & BUS BAY H,DUNN LORING MERRIFIELD METRO STATION,168.3
3704,SILVER HILL RD & PARKWAY TERR DR,SUITLAND METRO STATION,168.3
7498,E ST SW & 7TH ST SW,L'ENFANT PLAZA METRO STATION,168.4
27925,CONNECTICUT AVE & VAN NESS ST,VAN NESS-UDC METRO STATION,169.0
27765,MONROE ST NE & 7TH ST NE,BROOKLAND-CUA METRO,169.3
4810,CALVERT ST & CONNECTICUT AVE,WOODLEY PARK-ZOO METRO STATION,170.0
5508,H ST NW & 7TH ST NW,GALLERY PLACE CHINATOWN METRO STATION,170.2
11560,PENDLETON ST & N WEST ST,BRADDOCK RD METRORAIL STATION,170.8
26704,MARTIN LUTHER KING JR AVE SE & HOWARD RD SE,ANACOSTIA METRO STATION,170.9
781,I ST & 15TH ST NW,MCPHERSON SQ METRO STATION,172.5
16058,NEW HAMPSHIRE AVE & SPRING RD,GEORGIA AVE PETWORTH STATION,172.6
5506,H ST NW & 11TH ST NW,METRO CENTER METRO STATION,173.0
29332,HUNTINGTON STATION & BUS BAY L,HUNTINGTON AV METRO STATION,173.4
7473,7TH ST & H ST,GALLERY PLACE CHINATOWN METRO STATION,173.7
48317,H ST + 17TH ST NW,FARRAGUT WEST METRO STATION,173.8
6448,PENNSYLVANIA AVE NW & 22ND ST NW,FOGGY BOTTOM METRO STATION,177.2
40210,MONROE ST NE & 7TH ST NE,BROOKLAND-CUA METRO,177.5
7970,I ST & 18TH ST NW,FARRAGUT WEST METRO STATION,178.2
21089,R ST NW & 7TH ST NW,SHAW METRO STATION,178.2
5498,H ST & 24TH ST,FOGGY BOTTOM METRO STATION,178.5
27262,COLUMBUS CIR NE & DELAWARE AVE NE,UNION STATION METRO STATION,179.5
6403,20TH ST NW & P ST NW,DUPONT CIRCLE METRO STATION,179.9
9759,P ST NW & HOPKINS ST NW,DUPONT CIRCLE METRO STATION,181.8
7464,7TH ST & T ST,SHAW METRO STATION,182.1
48319,BONIFANT ST + DIXON AVE - STOP T4,SILVER SPRING METRO STATION,182.6
30140,FLORIDA AVE NE & N ST NE,NOMA-GALLAUDET U (NEW YORK AVE) METRO STATION,183.0
6514,PENNSYLVANIA AVE SE & 6TH ST SE,EASTERN MARKET METRO STATION,183.1
42513,WISCONSIN AVE & ELM ST,BETHESDA METRO STATION,184.4
26923,M ST & 6TH ST SW,WATERFRONT METRO STATION,185.9
4756,18TH ST & I ST,FARRAGUT WEST METRO STATION,186.4
13439,20TH ST & CRYSTAL DR,CRYSTAL CITY METRO STATION,186.4
26703,M L KING AVE SE & HOWARD RD SE,ANACOSTIA METRO STATION,188.0
7727,14TH ST & K ST,MCPHERSON SQ METRO STATION,188.7
14606,9TH ST NW & G ST NW,GALLERY PLACE CHINATOWN METRO STATION,189.3
29740,EAST-WEST HWY & WAVERLY ST,BETHESDA METRO STATION,189.4
5637,18TH ST NW & K ST NW,FARRAGUT NORTH METRO STATION,190.5
27619,RHODE ISLAND AVE NE & #610,RHODE ISLAND METRO STATION,191.1
1839,U ST NW & 11TH ST NW,U STREET METRO STATION,191.8
29006,ALABAMA AVE SE & CONGRESS ST SE,CONGRESS HEIGHTS METRO STATION,192.5
39777,H ST NW & 11TH ST NW,METRO CENTER METRO STATION,192.9
5504,13TH ST NW & H ST NW,METRO CENTER METRO STATION,194.0
7082,FORT DR NW & ALBEMARLE ST NW,TENLEYTOWN METRO STATION,194.1
4582,BENNING RD NE & 44TH ST NE,BENNING RD METRO STATION,194.4
5955,MINNESOTA AVE NE & QUARLES ST NE,DEANWOOD METRO STATION,195.0
27381,FRANKLIN SQUARE & BUS BAY A,MCPHERSON SQ METRO STATION,195.3
5492,13TH ST NW & H ST NW,METRO CENTER METRO STATION,195.4
3624,CENTRAL AVE & SOPER LN,ADDISON ROAD METRO STATION,199.5
4804,CALVERT ST & SHOREHAM-AMERICANA,WOODLEY PARK-ZOO METRO STATION,199.9
