bus_stop_id,bus_stop_name,rail_station,distance_m
31652,ROCKVILLE STATION EAST & BUS BAY A,ROCKVILLE METRO STATION,46.4
28669,NEW CARROLLTON STATION & BUS BAY B,NEW CARROLLTON METRO STATION,46.5
28656,ANACOSTIA STATION & BUS BAY D,ANACOSTIA METRO STATION,47.0
28979,RHODE ISLAND AVE STA & BUS BAY B,RHODE ISLAND METRO STATION,47.0
28857,BRANCH AVE STATION & BUS BAY F,BRANCH AVE METRO STATION,47.1
5596,14TH ST NW & IRVING ST NW,COLUMBIA HEIGHTS METRO STATION,47.3
28667,BROOKLAND-CUA STATION & BUS BAY B,BROOKLAND-CUA METRO,48.4
28662,DEANWOOD STATION & BUS BAY B,DEANWOOD METRO STATION,48.5
29681,GEORGIA AVE & NEW HAMPSHIRE AVE,GEORGIA AVE PETWORTH STATION,49.1
31356,GEORGIA AVE & NEW HAMPSHIRE AVE STOP B,GEORGIA AVE PETWORTH STATION,49.3
28961,FT TOTTEN STATION & BUS BAY C,FORT TOTTEN METRO STATION,50.0
29742,TAKOMA STATION & BUS BAY F,TAKOMA METRO STATION,50.3
28654,ANACOSTIA STATION & BUS BAY C,ANACOSTIA METRO STATION,51.2
28962,FT TOTTEN STATION & ALIGHTING STOP ALL ROUTES,FORT TOTTEN METRO STATION,51.5
5549,14TH ST & I ST,MCPHERSON SQ METRO STATION,51.5
27517,CONNECTICUT AVE & Q ST,DUPONT CIRCLE METRO STATION,52.1
46822,KING STREET STA + BUS BAY B,KING STREET METRO STATION,53.0
27786,BROOKLAND-CUA STATION & BUS BAY F,BROOKLAND-CUA METRO,53.5
13895,M ST SE & NEW JERSEY AVE SE,NAVY YARD METRO STATION,53.7
30127,ALABAMA AVE SE & 13TH ST SE,CONGRESS HEIGHTS METRO STATION,54.0
26710,HOWARD RD SE & EAST ENTRANCE TO ANACOSTIA STATION,ANACOSTIA METRO STATION,54.4
28428,WHEATON STATION & BUS BAY D,WHEATON METRO STATION,54.7
29968,PG PLAZA STATION & BUS BAY A,PRINCE GEORGES PLAZA METRO STATION,54.9
27950,CONNECTICUT AVE NW & VEAZEY TER NW,VAN NESS-UDC METRO STATION,55.3
28995,CAPITOL HEIGHTS STATION & BUS BAY C,CAPITOL HEIGHTS METRO STATION,56.1
26698,ANACOSTIA STA & BUS BAY E,ANACOSTIA METRO STATION,56.4
29302,BALLSTON STATION & BUS BAY B,BALLSTON METRO,56.9
29366,SOUTHERN AVE STATION & BUS BAY C,SOUTHERN AVE METRO STATION,56.9
29121,PENTAGON STATION & BUS BAY U13,PENTAGON METRO STATION,57.2
