path_id,o_zone_id,d_zone_id,link_sequence
1,1,2,1;382;523;438;462;490;414;387
2,1,2,2;384;525;440;464;492;416;389
3,1,3,5;604;615
4,1,3,6;606;617
5,1,4,1;382;523;438;462;490;414;388;399
6,1,4,2;384;525;440;464;492;416;390;401
7,1,5,5;604;616;676;721;694;670;739;704;646;688;709;698;625
8,1,5,6;606;618;678;723;696;672;741;706;648;690;711;700;626
9,1,6,7;752;758;818;763
10,1,6,8;754;760;820;765
11,1,7,1;382;523;438;462;490;414;388;400;444;407
12,1,7,2;384;525;440;464;492;416;390;402;446;409
13,1,8,10;859;880;876;867;119;988;1014;981
14,1,8,10;859;879;208;587;583;575;119;988;1014;981
15,1,9,10;859;880;876;867;119;988;1014;982;1002;1016;1020;996;1024;1008;984
16,1,9,10;859;880;876;867;119;988;1014;981;78;865;877;200;1002;1016;1020;996;1024;1008;984
17,1,10,10;859;880;876;867;119;988;1014;981;74;570;571
18,1,10,10;859;879;208;587;583;576;593;570;571
19,1,11,1;382;523;438;461;238;554;556;538
20,1,11,2;384;525;440;463;238;554;556;538
21,1,12,1;382;523;438;462;490;414;388;400;444;408;432;419
22,1,12,2;384;525;440;464;492;416;390;402;446;410;434;421
23,1,13,10;859;880;876;867
24,1,13,10;859;879;208;587;583;575
25,1,14,5;604;616;676;721;694;670;739;703;273;702;643
26,1,14,6;606;618;678;723;696;672;741;705;273;702;643
27,1,15,1;382;523;438;462;490;414;388;400;444;408;431
28,1,15,2;384;525;440;464;492;416;390;402;446;410;433
29,1,16,7;752;758;818;764;783
30,1,16,8;754;760;820;766;785
31,1,17,7;752;758;818;764;784;826;831;286;1110;1095
32,1,17,8;754;760;820;766;786;828;833;286;1110;1095
33,1,18,10;859;880;876;867;119;988;1014;981;74;570;572;595;579
34,1,18,10;859;879;208;587;583;576;593;570;572;595;579
35,1,19,1;382;523;437
36,1,19,2;384;525;439
37,1,20,10;859;880;876;867;119;988;1014;981;78;865;878;894;896;873
38,1,20,10;859;880;876;867;119;988;1014;982;1002;1016;1020;995
39,1,21,10;859;880;875
40,1,21,10;859;879;208;587;582
41,1,22,1;382;523;438;462;490;414;388;400;443
42,1,22,2;384;525;440;464;492;416;390;402;445
43,1,23,10;859;880;876;867;119;988;1014;981;78;865;877
44,1,23,10;859;880;876;867;119;988;1014;982;1001
45,1,24,5;604;616;676;721;694;669
46,1,24,6;606;618;678;723;696;671
47,1,25,10;859;879
48,1,25,5;604;615;35;861;859;879
49,1,26,5;604;616;675
50,1,26,6;606;618;677
51,1,27,11;1028;1074;1050;1057;1063;1040;1030;1034;1052;1038;1044;1042;1072;1067;1069;1055
52,1,27,1;382;523;438;461;238;554;556;538;100;1040;1030;1034;1052;1038;1044;1042;1072;1067;1069;1055
53,1,28,10;859;880;876;867;119;988;1014;981;78;865;878;894;896;874;898;883
54,1,28,10;859;880;876;867;119;988;1014;982;1002;1016;1020;996;1024;1007
55,1,29,1;382;523;438;461
56,1,29,2;384;525;440;463
57,1,30,7;752;758;818;764;784;825
58,1,30,8;754;760;820;766;786;827
59,1,31,5;604;616;676;721;694;670;739;704;646;687
60,1,31,6;606;618;678;723;696;672;741;706;648;689
61,1,32,10;859;880;876;867;112;749;750
62,1,32,10;859;879;208;587;583;575;112;749;750
63,1,33,5;604;616;676;721;693
64,1,33,6;606;618;678;723;695
65,1,34,5;604;616;676;721;694;670;739;704;646;688;709;697
66,1,34,6;606;618;678;723;696;672;741;706;648;690;711;699
67,1,35,5;604;616;676;721;694;670;739;703
68,1,35,6;606;618;678;723;696;672;741;705
69,1,36,5;604;616;676;721;694;670;739;704;646;688;708
70,1,36,6;606;618;678;723;696;672;741;706;648;690;710
71,1,37,7;752;758;818;764;784;826;831
72,1,37,8;754;760;820;766;786;828;833
73,1,38,1;382;523;438;462;489
74,1,38,2;384;525;440;464;491
75,1,39,7;752;758;818;764;784;826;831;286;1110;1096;1113
76,1,39,8;754;760;820;766;786;828;833;286;1110;1096;1113
77,1,40,5;604;616;676;720
78,1,40,6;606;618;678;722
79,1,41,10;859;879;208;587;583;576;592
80,1,41,10;859;880;875;173;583;576;592
81,1,42,1;382;523;438;462;490;414;388;400;444;408;432;420;511;501
82,1,42,2;384;525;440;464;492;416;390;402;446;410;434;422;513;503
83,1,43,1;382;523;438;462;490;414;388;400;444;408;432;420;511;502;507
84,1,43,2;384;525;440;464;492;416;390;402;446;410;434;422;513;504;508
85,1,44,10;859;880;876;867;119;988;1014;981;78;865;878;893
86,1,44,10;859;880;876;867;119;988;1014;982;1002;1015
87,1,45,1;382;523;438;462;490;414;388;400;444;408;432;420;510
88,1,45,2;384;525;440;464;492;416;390;402;446;410;434;422;512
89,1,46,10;859;880;876;867;119;988;1014;981;78;865;878;894;895
90,1,46,10;859;880;876;867;119;988;1014;982;1002;1016;1019
91,1,47,10;859;880;876;867;119;988;1014;981;78;865;878;894;896;874;897
92,1,47,10;859;880;876;867;119;988;1014;982;1002;1016;1020;996;1023
93,1,48,5;604;616;676;721;694;669;204;668;736
94,1,48,6;606;618;678;723;696;671;204;668;736
95,1,49,10;859;880;876;867;119;988;1014;981;74;570;572;594
96,1,49,10;859;879;208;587;583;576;593;570;572;594
97,1,50,1;382;522
98,1,50,2;384;524
99,2,1,25;1078;1088;1112;1105;240;680;656;743;601
100,2,1,25;1078;1087;94;634;713;680;656;743;601
101,2,3,25;1078;1088;1112;1106;1098;1122;1076;1079
102,2,3,25;1078;1088;1112;1105;240;680;656;742;374;745;604;615
103,2,4,13;388;399
104,2,4,14;390;401
105,2,5,25;1078;1088;1112;1106;1098;1122;1076;1080;1101;219;674;719;692;668;737;702;643;124;646;688;709;698;625
106,2,5,25;1078;1088;1112;1106;1098;1122;1076;1080;1101;219;674;719;692;668;737;702;643;125;648;690;711;700;626
107,2,6,25;1078;1088;1112;1106;1098;1122;1076;1080;1102;1083
108,2,6,25;1078;1088;1112;1105;240;680;656;742;380;1122;1076;1080;1102;1083
109,2,7,13;388;400;444;407
110,2,7,14;390;402;446;409
111,2,8,25;1078;1088;1112;1105;245;1010;992;1026;1004;998;988;1014;981
112,2,8,23;976;986;1012;1010;992;1026;1004;998;988;1014;981
113,2,9,25;1078;1088;1112;1105;245;1010;992;1026;1004;998;988;1014;982;1002;1016;1020;996;1024;1008;984
114,2,9,23;976;986;1012;1010;992;1026;1004;998;988;1014;982;1002;1016;1020;996;1024;1008;984
115,2,10,25;1078;1088;1112;1105;240;680;656;742;372;597;587;583;576;593;570;571
116,2,10,25;1078;1088;1112;1105;245;1010;992;1025;372;597;587;583;576;593;570;571
117,2,11,23;976;985
118,2,11,25;1078;1087
119,2,12,13;388;400;444;408;432;419
120,2,12,14;390;402;446;410;434;421
121,2,13,25;1078;1088;1112;1105;240;680;656;742;372;597;587;583;575
122,2,13,25;1078;1088;1112;1105;245;1010;992;1025;372;597;587;583;575
