link_id,directed_route_id,hour,num_trips,vehicle_capacity,period_capacity
382,1.1,0,0,750.0,0.0
382,1.1,1,0,750.0,0.0
382,1.1,4,4,750.0,3000.0
382,1.1,5,6,750.0,4500.0
382,1.1,6,6,750.0,4500.0
382,1.1,7,6,750.0,4500.0
382,1.1,8,6,750.0,4500.0
382,1.1,9,6,750.0,4500.0
382,1.1,10,6,750.0,4500.0
382,1.1,11,6,750.0,4500.0
382,1.1,12,6,750.0,4500.0
382,1.1,13,6,750.0,4500.0
382,1.1,14,6,750.0,4500.0
382,1.1,15,6,750.0,4500.0
382,1.1,16,6,750.0,4500.0
382,1.1,17,6,750.0,4500.0
382,1.1,18,6,750.0,4500.0
382,1.1,19,6,750.0,4500.0
382,1.1,20,6,750.0,4500.0
382,1.1,21,4,750.0,3000.0
382,1.1,22,3,750.0,2250.0
382,1.1,23,3,750.0,2250.0
384,1.1,0,0,750.0,0.0
384,1.1,1,0,750.0,0.0
384,1.1,4,4,750.0,3000.0
384,1.1,5,6,750.0,4500.0
384,1.1,6,6,750.0,4500.0
384,1.1,7,6,750.0,4500.0
384,1.1,8,6,750.0,4500.0
384,1.1,9,6,750.0,4500.0
384,1.1,10,6,750.0,4500.0
384,1.1,11,6,750.0,4500.0
384,1.1,12,6,750.0,4500.0
384,1.1,13,6,750.0,4500.0
384,1.1,14,6,750.0,4500.0
384,1.1,15,6,750.0,4500.0
384,1.1,16,6,750.0,4500.0
384,1.1,17,6,750.0,4500.0
384,1.1,18,6,750.0,4500.0
384,1.1,19,6,750.0,4500.0
384,1.1,20,6,750.0,4500.0
384,1.1,21,4,750.0,3000.0
384,1.1,22,3,750.0,2250.0
384,1.1,23,3,750.0,2250.0
386,1.1,0,0,750.0,0.0
386,1.1,1,0,750.0,0.0
386,1.1,4,4,750.0,3000.0
386,1.1,5,6,750.0,4500.0
386,1.1,6,6,750.0,4500.0
386,1.1,7,6,750.0,4500.0
386,1.1,8,6,750.0,4500.0
386,1.1,9,6,750.0,4500.0
386,1.1,10,6,750.0,4500.0
386,1.1,11,6,750.0,4500.0
386,1.1,12,6,750.0,4500.0
386,1.1,13,6,750.0,4500.0
386,1.1,14,6,750.0,4500.0
386,1.1,15,6,750.0,4500.0
386,1.1,16,6,750.0,4500.0
386,1.1,17,6,750.0,4500.0
386,1.1,18,6,750.0,4500.0
386,1.1,19,6,750.0,4500.0
386,1.1,20,6,750.0,4500.0
386,1.1,21,4,750.0,3000.0
386,1.1,22,3,750.0,2250.0
386,1.1,23,3,750.0,2250.0
388,1.1,0,0,750.0,0.0
388,1.1,1,0,750.0,0.0
388,1.1,4,4,750.0,3000.0
388,1.1,5,6,750.0,4500.0
388,1.1,6,6,750.0,4500.0
388,1.1,7,6,750.0,4500.0
388,1.1,8,6,750.0,4500.0
388,1.1,9,6,750.0,4500.0
388,1.1,10,6,750.0,4500.0
388,1.1,11,6,750.0,4500.0
388,1.1,12,6,750.0,4500.0
388,1.1,13,6,750.0,4500.0
388,1.1,14,6,750.0,4500.0
388,1.1,15,6,750.0,4500.0
388,1.1,16,6,750.0,4500.0
388,1.1,17,6,750.0,4500.0
388,1.1,18,6,750.0,4500.0
388,1.1,19,6,750.0,4500.0
388,1.1,20,6,750.0,4500.0
388,1.1,21,4,750.0,3000.0
388,1.1,22,3,750.0,2250.0
