directed_route_id,hour,num_trips
1.1,4,4
1.1,5,6
1.1,6,6
1.1,7,6
1.1,8,6
1.1,9,6
1.1,10,6
1.1,11,6
1.1,12,6
1.1,13,6
1.1,14,6
1.1,15,6
1.1,16,6
1.1,17,6
1.1,18,6
1.1,19,6
1.1,20,6
1.1,21,4
1.1,22,3
1.1,23,3
11.1,0,2
11.1,4,2
11.1,5,3
11.1,6,3
11.1,7,3
11.1,8,3
11.1,9,3
11.1,10,3
11.1,11,3
11.1,12,3
11.1,13,3
11.1,14,3
11.1,15,3
11.1,16,3
11.1,17,3
11.1,18,3
11.1,19,3
11.1,20,3
11.1,21,2
11.1,22,3
11.1,23,3
12.2,0,1
12.2,1,1
12.2,5,3
12.2,6,3
12.2,7,3
12.2,8,3
12.2,9,3
12.2,10,3
12.2,11,3
12.2,12,3
12.2,13,3
12.2,14,3
12.2,15,3
12.2,16,3
12.2,17,3
12.2,18,3
12.2,19,4
12.2,20,3
12.2,21,3
12.2,22,3
12.2,23,3
19.2,0,3
19.2,4,1
19.2,5,9
19.2,6,10
19.2,7,10
19.2,8,9
19.2,9,10
19.2,10,10
19.2,11,9
19.2,12,10
19.2,13,10
19.2,14,9
19.2,15,10
19.2,16,10
19.2,17,9
19.2,18,10
19.2,19,10
19.2,20,10
19.2,21,9
19.2,22,10
19.2,23,3
2.1,0,1
2.1,21,1
2.2,4,3
2.2,5,7
2.2,6,6
2.2,7,6
2.2,8,6
2.2,9,6
2.2,10,6
2.2,11,6
2.2,12,6
2.2,13,6
2.2,14,6
2.2,15,6
2.2,16,6
2.2,17,6
2.2,18,6
2.2,19,6
2.2,20,5
2.2,21,4
2.2,22,3
2.2,23,4
20.1,0,2
20.1,1,1
20.1,5,9
20.1,6,9
20.1,7,10
20.1,8,10
20.1,9,10
20.1,10,9
20.1,11,10
20.1,12,10
20.1,13,9
20.1,14,10
20.1,15,10
20.1,16,9
20.1,17,10
20.1,18,10
20.1,19,9
20.1,20,10
20.1,21,10
20.1,22,9
20.1,23,3
3.2,4,3
3.2,5,3
3.2,6,3
3.2,7,3
3.2,8,3
3.2,9,3
3.2,10,3
3.2,11,3
3.2,12,3
3.2,13,3
3.2,14,3
3.2,15,3
3.2,16,3
3.2,17,3
3.2,18,3
3.2,19,3
3.2,20,3
3.2,21,3
3.2,22,3
3.2,23,3
4.1,0,2
4.1,4,1
4.1,5,3
4.1,6,3
4.1,7,3
4.1,8,3
4.1,9,3
4.1,10,3
4.1,11,3
4.1,12,3
4.1,13,3
4.1,14,3
4.1,15,3
4.1,16,3
4.1,17,3
4.1,18,3
4.1,19,3
4.1,20,3
4.1,21,3
4.1,22,3
4.1,23,3
5.1,4,3
5.1,5,3
5.1,6,3
5.1,7,3
5.1,8,3
5.1,9,3
5.1,10,3
5.1,11,3
5.1,12,3
5.1,13,3
5.1,14,3
5.1,15,3
5.1,16,3
5.1,17,3
5.1,18,3
6.2,4,2
6.2,5,5
6.2,6,3
6.2,7,3
6.2,8,3
6.2,9,3
6.2,10,3
6.2,11,3
6.2,12,3
6.2,13,3
6.2,14,3
6.2,15,3
6.2,16,3
6.2,17,3
6.2,18,3
6.2,19,2
7.1,4,1
7.1,5,3
7.1,6,3
7.1,7,3
7.1,8,3
7.1,9,3
7.1,10,3
7.1,11,3
7.1,12,3
7.1,13,3
7.1,14,3
7.1,15,3
7.1,16,3
7.1,17,3
7.1,18,3
7.1,19,2
8.2,6,3
8.2,7,3
8.2,8,3
8.2,9,3
8.2,10,3
8.2,11,3
8.2,12,3
8.2,13,3
8.2,14,3
8.2,15,3
8.2,16,3
8.2,17,3
8.2,18,3
8.2,19,3
8.2,20,3
