node_id,zone_id,x_coord,y_coord
1,1,2220978.67181,1483122.48583
2,2,2222861.35604,1479567.02312
3,3,2226471.89114,1484525.3636
4,4,2233516.61229,1483417.854
5,5,2236754.10351,1485119.21182
6,6,2238829.2014,1483914.67486
7,7,2241827.4372,1485367.04794
8,8,2247009.01706,1484991.41746
9,9,2246914.04678,1488231.20002
10,10,2245388.29228,1491981.94842
11,11,2245864.26672,1496896.51996
12,12,2249303.80447,1497162.03222
13,13,2240959.88874,1490862.68983
14,14,2239046.26593,1486371.57644
15,15,2236062.14361,1488533.62559
16,16,2229957.0446,1490462.04956
17,17,2225413.98578,1493643.45068
18,18,2234115.45426,1494333.96078
19,19,2239802.83003,1496345.81765
20,20,2238455.39867,1499961.35044
21,21,2241758.74082,1504993.51098
22,22,2241313.52419,1512073.89216
23,23,2243597.23681,1517971.51455
24,24,2247589.19142,1520452.23761
25,25,2250918.045,1519377.37526
26,26,2247677.94945,1509453.52372
27,27,2245683.54858,1502292.8156
28,28,2251485.54256,1499557.85027
29,29,2255806.19468,1498625.21368
30,30,2254457.18064,1509556.7827
31,31,2254418.51569,1516737.73093
32,32,2260360.76201,1519320.97511
33,33,2266676.87044,1517712.96356
34,34,2264558.63386,1511990.61313
35,35,2263289.58194,1508535.01079
36,36,2257338.42619,1505254.24668
37,37,2259450.96823,1502965.94844
38,38,2265276.56812,1505464.3647
39,39,2265233.70076,1502192.69539
40,40,2259659.28868,1499831.19946
41,41,2264073.06397,1494580.17518
42,42,2263273.57869,1490379.98443
43,43,2261622.71684,1489666.00948
44,44,2260821.71089,1496024.11553
45,45,2259890.27936,1491594.96035
46,46,2257602.77802,1486719.99799
47,47,2257507.74934,1483807.36044
48,48,2256089.60848,1490484.73587
49,49,2255499.11557,1496399.53178
50,50,2252051.9138,1491969.91465
51,51,2248527.93331,1493734.20279
52,52,2252353.31313,1486192.91768
53,53,2252605.10331,1482686.05527
54,54,2254457.44836,1480432.25138
55,55,2249467.02363,1480760.93838
56,56,2247768.09363,1478909.52804
57,57,2247598.19895,1476584.85454
58,58,2249985.48256,1474845.56472
59,59,2251020.49723,1478140.74513
60,60,2254033.32158,1478255.29609
61,61,2253360.17726,1474165.94993
62,62,2257192.85955,1478419.96931
63,63,2257633.64903,1475015.69397
64,64,2252587.05643,1470839.89687
65,65,2251646.62065,1468773.5434
